Application,MicroG,Urgent,Other Notes
KWGT,both,yes,X
KLWP,both,yes,X
KLCK,both,yes,X
Nequi Colombia,both,X,X
Bancolombia Personas,both,X,X
Bancolombia A La Mano,both,X,X
Beat,both,X,X
DiDi,both,X,X
Picap,both,X,X
